AI,API,Black,Hispanic,Unknown,White,Total
0,0,22,4,0,1,27
0,0,14,2,0,1,17
0,0,12,5,0,0,17
0,0,12,2,0,3,17
0,1,13,1,0,1,16
0,0,8,3,0,0,11
0,0,7,3,0,1,11
0,1,2,5,0,3,11
0,1,5,3,0,2,11
0,0,6,2,0,2,10
