"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","demographic__special_variable","mdpop10t14","MdAge","1712","0","","0","0","false","466865","0","","0","0","false","-465153","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop15t17","MdAge","804","0","","0","0","false","281103","0","","0","0","false","-280299","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop18t19","MdAge","526","0","","0","0","false","189651","0","","0","0","false","-189125","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop20","MdAge","276","0","","0","0","false","113457","0","","0","0","false","-113181","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop21","MdAge","245","0","","0","0","false","112306","0","","0","0","false","-112061","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop22t24","MdAge","1167","0","","0","0","false","380066","0","","0","0","false","-378899","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop25t29","MdAge","2758","0","","0","0","false","799350","0","","0","0","false","-796592","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop30t34","MdAge","2773","0","","0","0","false","728269","0","","0","0","false","-725496","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop35t39","MdAge","2078","0","","0","0","false","616797","0","","0","0","false","-614719","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop40t44","MdAge","2055","0","","0","0","false","560621","0","","0","0","false","-558566","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop45t49","MdAge","1797","0","","0","0","false","554744","0","","0","0","false","-552947","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop50t54","MdAge","1962","0","","0","0","false","555927","0","","0","0","false","-553965","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop55t59","MdAge","1572","0","","0","0","false","517646","0","","0","0","false","-516074","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop5t9","MdAge","1729","0","","0","0","false","486318","0","","0","0","false","-484589","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop60t61","MdAge","448","0","","0","0","false","201161","0","","0","0","false","-200713","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop62t64","MdAge","911","0","","0","0","false","267165","0","","0","0","false","-266254","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop65t66","MdAge","472","0","","0","0","false","168727","0","","0","0","false","-168255","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop67t69","MdAge","691","0","","0","0","false","209295","0","","0","0","false","-208604","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop70t74","MdAge","615","0","","0","0","false","272617","0","","0","0","false","-272002","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop75t79","MdAge","636","0","","0","0","false","204441","0","","0","0","false","-203805","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop80t84","MdAge","350","0","","0","0","false","147588","0","","0","0","false","-147238","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop85pl","MdAge","205","0","","0","0","false","165600","0","","0","0","false","-165395","0","true","0","0",""
"","demographic","demographic__special_variable","mdpop_3","MdAge","28288","0","","0","0","false","8560072","0","","0","0","false","-8531784","0","true","0","0",""
"","demographic","hispanic_subgroup","hsp2","Hsp2","12331","1191.14734604918","5.87220606699441","1","0","true","2491496","0","0","1","0","true","-2479165","1191.14734604918","true","0","0",""
"","demographic","hispanic_subgroup","hspalloth","Hsp2","463","201.957916408345","26.5163649790707","0.037547644148893","0.0159714036607588","false","65620","2830","2.6","0.026","0.001","true","-65157","2837.1970322837997","true","1.1547644148893","1.6002678991184558","false"
"","demographic","hispanic_subgroup","hsparg","Hsp2","115","182","96.2072155411656","0.00932608871948747","0.0147320299270778","false","19089","2100","6.7","0.008","0.001","true","-18974","2107.871912617083","true","0.13260887194874693","1.476593057590059","false"
